"epoch","Layer_2_CH_n_1_out_200_LC_learning_rate_0.01_2nd_epoch_900000_RTD2 - _step","Layer_2_CH_n_1_out_200_LC_learning_rate_0.01_2nd_epoch_900000_RTD2 - _step__MIN","Layer_2_CH_n_1_out_200_LC_learning_rate_0.01_2nd_epoch_900000_RTD2 - _step__MAX","Layer_2_CH_n_1_out_200_LC_learning_rate_0.01_2nd_epoch_900000_RTD2 - train/loss","Layer_2_CH_n_1_out_200_LC_learning_rate_0.01_2nd_epoch_900000_RTD2 - train/loss__MIN","Layer_2_CH_n_1_out_200_LC_learning_rate_0.01_2nd_epoch_900000_RTD2 - train/loss__MAX","Layer_2_CH_n_1_out_200_LC_learning_rate_0.01_2nd_epoch_900000 - _step","Layer_2_CH_n_1_out_200_LC_learning_rate_0.01_2nd_epoch_900000 - _step__MIN","Layer_2_CH_n_1_out_200_LC_learning_rate_0.01_2nd_epoch_900000 - _step__MAX","Layer_2_CH_n_1_out_200_LC_learning_rate_0.01_2nd_epoch_900000 - train/loss","Layer_2_CH_n_1_out_200_LC_learning_rate_0.01_2nd_epoch_900000 - train/loss__MIN","Layer_2_CH_n_1_out_200_LC_learning_rate_0.01_2nd_epoch_900000 - train/loss__MAX"
"10299","205","205","205","0.00001159232579084346","0.00001159232579084346","0.00001159232579084346","205","205","205","9.321286853491983e-9","9.321286853491983e-9","9.321286853491983e-9"
"10399","207","207","207","0.000008330470336659346","0.000008330470336659346","0.000008330470336659346","","","","","",""
"10449","208","208","208","0.000008294739018310793","0.000008294739018310793","0.000008294739018310793","","","","","",""
"10549","210","210","210","0.000008513734428561293","0.000008513734428561293","0.000008513734428561293","","","","","",""
"10599","211","211","211","0.000008616068953415379","0.000008616068953415379","0.000008616068953415379","","","","","",""
"10649","212","212","212","0.000008158386663126294","0.000008158386663126294","0.000008158386663126294","","","","","",""
"10699","","","","","","","213","213","213","8.90140050557875e-9","8.90140050557875e-9","8.90140050557875e-9"
"10749","214","214","214","0.000008088196409516968","0.000008088196409516968","0.000008088196409516968","214","214","214","8.948812357800762e-9","8.948812357800762e-9","8.948812357800762e-9"
"10849","","","","","","","216","216","216","8.864401657149301e-9","8.864401657149301e-9","8.864401657149301e-9"
"10899","217","217","217","0.000007991533493623137","0.000007991533493623137","0.000007991533493623137","217","217","217","5.023753715249768e-7","5.023753715249768e-7","5.023753715249768e-7"
"10949","","","","","","","218","218","218","0.0000012910644500152557","0.0000012910644500152557","0.0000012910644500152557"
"11049","220","220","220","0.000012939423868374433","0.000012939423868374433","0.000012939423868374433","220","220","220","8.527368144939373e-9","8.527368144939373e-9","8.527368144939373e-9"
"11099","221","221","221","0.000012975308891327586","0.000012975308891327586","0.000012975308891327586","","","","","",""
"11199","223","223","223","0.00000780300069891382","0.00000780300069891382","0.00000780300069891382","223","223","223","8.435894649494458e-9","8.435894649494458e-9","8.435894649494458e-9"
"11249","224","224","224","0.000007771639502607286","0.000007771639502607286","0.000007771639502607286","224","224","224","8.404172469056448e-9","8.404172469056448e-9","8.404172469056448e-9"
"11299","225","225","225","0.000007773325705784373","0.000007773325705784373","0.000007773325705784373","225","225","225","8.37291835864562e-9","8.37291835864562e-9","8.37291835864562e-9"
"11349","226","226","226","0.000012995192264497746","0.000012995192264497746","0.000012995192264497746","","","","","",""
"11449","228","228","228","0.000007653080501768272","0.000007653080501768272","0.000007653080501768272","228","228","228","8.273862484031724e-9","8.273862484031724e-9","8.273862484031724e-9"
"11549","230","230","230","0.000007594900125695858","0.000007594900125695858","0.000007594900125695858","230","230","230","8.204825263646853e-9","8.204825263646853e-9","8.204825263646853e-9"
"11599","","","","","","","231","231","231","8.170098375614998e-9","8.170098375614998e-9","8.170098375614998e-9"
"11649","232","232","232","0.000007593712780362694","0.000007593712780362694","0.000007593712780362694","","","","","",""
"11699","","","","","","","233","233","233","8.096841419558132e-9","8.096841419558132e-9","8.096841419558132e-9"
"11749","234","234","234","0.000007480173280782765","0.000007480173280782765","0.000007480173280782765","234","234","234","8.060109912833013e-9","8.060109912833013e-9","8.060109912833013e-9"
"11799","235","235","235","0.000007451595593011007","0.000007451595593011007","0.000007451595593011007","235","235","235","8.023063102768901e-9","8.023063102768901e-9","8.023063102768901e-9"
